date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
4/15/1979,NJ,HUNTERDON,Hurricane,Night,6,null,Landing Far Down / Land Area Overshot,Overshoot Landing,32,143,null,null,783,null,1,PROPJT,200,null,"PILOT TOUCHED DOWN ON WET RUNWAY WITH EXCESS SPEED. HYDROPLANED, OVERRAN THE RUNWAY."
2/12/1979,AK,FAIRBANKS,Hurricane,Unknown,Greater than 10 miles,null,Improper Level Off,Wheels - Up Landing,60,3000,null,null,25000,null,2,CURTIS,C46ACURTIS,null,INTENTIONAL GEAR UP LANDING AFTER SEPARATION OF WHEEL DURING PREVIOUS SHORT FIELD LANDING ATTEMPT.
3/25/1979,AK,BIRCHWOOD,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,34,16,1,42,2465,null,1,CESSNA,170,2130,"PILOT ALLOWED AIRCRAFT TO VEER OFF RUNWAY ON LANDING ROLL. STRUCK SNOWBANK, FLIPPED OVER."
12/11/1979,AK,SITKA,Hurricane,Day,Greater than 10 miles,null,Improper Operation of Flight Controls in Air,Loss of Directional Control - Drag Wingtip,59,564,46,46,6658,null,1,ARCTIC,S1B2,547,TRIED WATER TAKEOFF WITH ICE ON AIRCRAFT. LEFT WING STALLED ON LIFTOFF. LEFT FLOAT WING HIT WATER.
12/28/1978,IN,FT WAYNE,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,42,104,null,null,2125,null,2,PIPER,PA34200T,null,PILOT TAXIING ON THE RAMP ALONG PARKED AIRCRAFT STRUCK A WING ON A LIGHT-POLE.
7/23/1979,WA,MEADE,Hurricane,Day,7,null,Poor Preflight Plan - Weight and Balance,Collision With Trees,30,118,22,22,1321,null,null,TCRAFK,L2,1805,UNABLE TO CLIMB AFTER TAKE OFF. ACFT SETTLED INTO TREES. DENSITY ALTITUDE AND LOW ALTITUDE TURN POSSIBLE FACTORS.
7/11/1979,OH,DAYTON,Fog,Day,10,null,Improper Operation of Flight Controls in Air,Uncontrollable Collision With Ground,24,773,207,355,1850,null,2,BEECH,E18S,8560,ACFT STRUCK A WIRE WHILE EXECUTING A FORCED LANDING.
12/9/1979,NY,SHIRLEY,null,Day,5,null,Failed to Avoid Ground or Water Collision,Loss of Directional Control - Drag Wingtip,42,610,34,51,1134,null,1,GULSTM,AA1B,1569,CFI GAVE STUDENT SIMULATED FORCED LANDING AFTER TAKEOFF. ALLOWED AIRCRAFT WING TO HIT RUNWAY ON LANDING ATTEMPT.
11/14/1978,AK,ANCHORAGE,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,29,60,null,null,60,null,1,CESSNA,152,null,LOST DIRECTIONAL CONTROL ON ROLLOUT. RAN OFF SIDE OF RUNWAY.STUDENT PILOT.
7/15/1979,IN,BROWNSBURG,Hurricane,Day,Greater than 10 miles,null,Miused Carburetor Heat / Deicing Procedure,Nose Up or Over,50,836,46,46,1960,null,1,LUSCOM,8,2123,"ENG. STOP. ON FINAL APPROACH DUE TO CARB. ICE. HIT DITCH SHORT OF RWY. BOUNCED, LANDED INVERTED ON RWY."
4/17/1979,OR,BEND,Light Snow,Day,Greater than 10 miles,null,Delayed in Initiating Go-around,Nose Up or Over,52,29,29,29,35,null,1,CESSNA,172,609,STUDENT PILOT ON FIRST SOLO. PILOT CLAIMS THE ENGINE QUIT. NOTHING COULD BE FOUND WRONG WITH THE ENGINE.
11/19/1979,CT,STRATFORD,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Aircraft - None or One Airborne,Aircraft Collisions - On Ground,51,2500,300,360,8100,null,1,CESSNA,172,2012,"COLLIDED WITH PA23, N4341P WHILE TAXIING."
2/28/1979,CO,BROOMFIELD,Light Snow,Day,Greater than 10 miles,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,29,1,null,null,293,null,1,CESSNA,T210L,null,PROBABLE INADVERTENT RETRACTION OF GEAR DURING TOUCH AND GO.
12/5/1978,IA,CEDAR RAPIDS,Light Snow,Day,1,null,null,Fire or Explosion - In Flight,24,950,null,null,2950,null,2,RKWELL,690,null,PILOT VECTORED TO AIRPORT AFTER DETECTING ELECTRIC FIRE. DUE TO FAULTY CONNECTION OF WINDSHIELD HEAT WIRE.
2/3/1979,CA,SANTA ANA,Light Rain,Day,null,null,Other/Miscellaneous,Jet Blast,31,3500,null,null,5500,null,1,HUGHES,269,null,JET BLAST DAMAGED PARKED HELICOPTER.
8/29/1979,IN,BLUE RIDGE,Light Snow,Day,10,1,Failed to Avoid Ground or Water Collision,Uncontrollable Collision With Ground,50,null,300,300,2400,null,2,CESSNA,310,1604,AIRPLANE OBSERVED IN NEAR VERTICAL DIVE TO GROUND. NO KNOWN MECHANICAL OR WEATHER PROBLEMS. ALCOHOL INVOLVED.
1/31/1979,OR,TROUTDALE,Hurricane,Day,Greater than 10 miles,null,Collided With Object on Final Approach,Collision With Fences and Posts,26,null,null,null,null,null,1,PIPER,PA28161,null,PLANE STRUCK A FENCEPOST AT APPROACH END OF RUNWAY.
4/20/1979,TX,BROWNSVILLE,Thunderstorm,Day,2,null,Poor Preflight Plan - Weight and Balance,Engine Malfunction,35,7,7,120,6000,null,2,LKHEED,18,13243,PILOT NOT RATED IN ACFT. 3734 POUNDS OVER GROSS. LOST OIL FROM FAULTY OIL COOLER. MADE FORCED LANDING.
8/31/1979,OR,REDMOND,Hurricane,Night,Greater than 10 miles,null,Poor Preflight Plan - Fuel Quantity,Controllable Collision With Ground,26,30,null,null,1300,null,1,CESSNA,177,2176,"RAN OUT OF FUEL, 3 MILES SHORT OF DESTINATION. CRASHED DURING NIGHTIME EMERGENCY LANDING."
7/10/1979,SD,SIOUX FALLS,Hurricane,Day,Greater than 10 miles,null,Failed to Advise of Unsafe Weather Conditions,Controllable Collision With Ground,54,35,null,175,10000,null,null,RAVEN,RX6,25,BALLOON CAUGHT NEAR THUNDERSTORM ENCOUNTERED VERTICAL UP AND DOWN DRAFTS.PILOT UNABLE TO OVERCOME SINK RATE CRASHED.
11/25/1979,MI,MARNE,Hurricane,Day,8,null,Delayed in Initiating Go-around,Collision With Trees,37,34,14,14,201,null,1,AMTRSP,SPEZIOTUHOLE,150,PILOT DECIDED TOO LATE TO ATTEMPT A GO-AROUND. HIT TREE.
9/19/1979,MO,HARRISONVILLE,Hurricane,Day,Greater than 10 miles,null,Improper Operation of Flight Controls in Air,Loss of Directional Control - Drag Wingtip,25,12,null,53,283,null,1,AMTR,FW190ONEHALF,405,AIRCRAFT SETTLED BACK TO RUNWAY AFTER EARLY LIFTOFF. WING STRUCK THE GROUND. AIRCRAFT CARTWHEELED.
5/26/1979,TN,FAYETTEVILLE,Hurricane,Night,null,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,43,44,null,null,381,null,1,CESSNA,150,null,ZA FORCED LANDING DUE TO FUEL STARVATION.
10/14/1978,WA,SOUTH PRAIRIE,Low Ceiling,Day,null,1,null,Other/Miscellaneous,null,null,null,null,null,null,1,CESSNA,182,null,"MAIN CHUTE FAILED TO DEPLOY FULLY, JUMPER MADE NO ATTEMPT TO DEPLOY RESERVE CHUTE."
1/9/1979,IN,MEMPHIS,Light Snow,Night,10,1,Continued Aircraft Speed - Exceeded Load Design,Airframe Failure - In Flight,51,null,null,null,1760,null,1,PIPER,PA28R200,1241,ATC ATTEMPTED TO DESCEND VFR RATED PILOT THROUGH OVERCAST.PILOT LOST CONTROL.EXCEEDED LOAD LIMITS.WINGS SEPERATED.
3/24/1978,IL,CHICAGO,Light Snow,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,48,null,null,null,null,null,2,BEECH,B18S,null,PILOT TRYING TO TAXI ON AN ICE-COVERED RUNWAY WITH A 52 KNOT WIND. BLOWN OFF TAXIWAY. STRUCK TAXIWAY LIGHT.
4/5/1979,CO,ENGLEWOOD,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,50,26,null,null,104,null,1,CESSNA,172,null,PILOT WITH LIMITED EXPERIENCE. DAMAGED THE AIRCRAFT IN A HARD LANDING.
1/21/1979,KS,KINSLEY,Hurricane,Day,Greater than 10 miles,null,Early Liftoff - Intercepted By Terrain,Collision With Other,50,165,10,19,6543,null,1,CESSNA,150,2557,PILOT TRIED TO LIFT OFF PREMATURELY AND TURNED TO AVOID ANOTHER AIRCRAFT WHICH WAS ON TAKEOFF FROM OPPOSITE END.
4/30/1979,AZ,PHOENIX,Hurricane,Day,null,null,null,Gear Collapse,48,1500,null,null,15000,null,2,CESSNA,T310Q,null,LANDING GEAR COLLAPSED DURING LANDING DUE TO SEPARATION OF LEFT MAIN TORQUE TUBE PN5045010-19. CAUSE UNDETERMINED.
